#{"t_start": 1784553574.136818, "env_id": "RIPSim2RealBalance-v0"}
r,l,t
368.673625,56,1.34484
664.829566,93,1.873165
282.082249,50,2.165169
855.459974,116,2.831811
906.212799,122,3.553274
365.410243,55,3.877966
338.708463,58,4.232187
475.050918,70,4.666189
314.072954,51,5.002289
391.122395,64,5.380904
268.643696,45,5.645523
462.637888,70,6.058789
298.733925,48,6.340468
635.716087,88,6.871284
590.489419,86,8.3971
980.975406,133,9.219128
460.892827,72,9.657402
296.119797,52,9.972003
590.952979,87,10.49699
290.664104,47,10.780251
693.864451,96,11.403089
770.123178,108,12.071161
451.605038,68,12.474806
338.947428,55,12.80605
284.83313,48,13.093136
599.836838,85,13.614231
328.622888,53,13.93244
415.916891,65,14.332342
330.19014,56,15.406738
730.004934,100,16.001673
250.276955,45,16.276481
309.766196,51,16.583924
414.987202,64,17.023317
763.542202,107,17.681895
422.325337,65,18.071936
951.270207,129,18.836485
724.594629,102,19.442514
393.209483,66,19.836056
425.498662,64,20.221539
699.601931,99,20.834108
466.860298,69,21.254967
363.39996,60,22.343648
790.033668,110,23.043444
564.963254,83,23.543161
821.14699,114,24.235574
991.892878,132,25.032143
632.91771,91,25.635332
626.50003,91,26.173739
562.494045,84,26.68828
544.992682,79,27.262445
655.35617,96,27.876347
500.056789,76,28.335384
690.480934,101,29.863805
875.276001,122,30.603365
797.920975,112,31.274009
483.625159,75,31.770555
838.626694,116,32.516482
870.732373,123,33.253056
725.680201,103,33.872632
535.324053,79,34.352058
587.829338,84,34.895881
556.81954,84,35.445339
756.696362,107,36.876666
638.690789,93,37.443126
874.580162,120,38.168282
777.247899,108,38.83406
975.029406,133,39.64771
682.442922,95,40.239776
1041.381046,139,41.10834
986.255397,134,41.927795
1007.643099,137,42.784304
791.376668,110,44.220748
947.25732,129,45.035629
1083.821874,145,46.52114
793.173636,113,47.323671
796.790571,112,48.075665
1005.058936,136,48.97074
954.853031,131,49.785846
744.436639,111,50.491386
1143.518771,154,52.187665
1533.162696,203,53.890422
926.088109,132,54.824126
1574.494517,205,56.140936
1609.297581,210,57.473463
2334.32031,314,60.14921
2440.505219,315,62.057297
9924.829224,1344,71.031746
5642.602856,711,76.028069
24238.033389,3001,95.88736
24017.826899,3001,115.822721
23420.081302,3001,135.732938
22943.113999,3001,155.705465
4511.393461,598,159.405959
22923.539395,3001,206.876181
23023.872279,3001,226.830647
22980.164682,3001,247.012635
22956.922072,3001,270.352812
20092.864174,2636,291.427241
17788.174045,2331,308.494254
3595.777106,476,311.388352
3229.052223,431,314.835056
22863.111271,3001,337.799463
15594.006234,2055,352.992182
22937.966245,3001,374.878853
16120.859208,2117,418.163906
22430.896392,3001,441.339537
22876.91275,3001,465.055673
12474.96086,1656,476.77928
22600.829809,3001,500.997117
5017.038836,674,506.125275
22445.610291,3001,529.926116
22592.299409,3001,553.175276
22204.618697,3001,575.723431
14247.191605,1882,589.348482
4959.960254,662,594.699789
3649.03093,500,598.309072
4456.279433,603,627.696471
21806.454161,3001,685.601135
21472.928734,3001,722.415974
21454.37067,3001,745.315344
3059.361543,407,747.883074
21836.074856,3001,772.195648
12522.134907,1665,785.634556
11296.076761,1510,796.203952
8922.698584,1222,806.126406
22175.063115,3001,828.986867
9390.619271,1280,840.133347
21554.432886,3001,862.608341
10614.298402,1433,896.509709
14869.385484,1962,911.899159
4256.359842,557,915.952713
10629.2984,1430,927.47459
22532.669334,3001,951.709774
21620.57371,3001,974.63705
22278.431235,3001,998.627187
4987.018973,655,1002.937642
4336.067193,565,1007.439318
3136.264941,419,1010.138389
10008.851586,1357,1021.787082
20793.929437,3001,1045.57362
20773.705834,3001,1068.144641
9967.734213,1348,1079.59756
5363.29935,728,1084.453483
4634.287504,627,1115.622512
