trial,seed,duration_s,randomization,pwm_limit,steps,final_alpha_rad,captured,capture_count,stable_start_time_s,stable_duration_s,alpha_abs_mean,pwm_abs_mean,max_abs_theta_rad,csv,png,model
TD3_SIM_R01,0,10.0,0.0,150.0,2000,-2.848161497465724,1,3,nan,0.0,nan,nan,13.889679980788618,TD3_SIM_R01.csv,TD3_SIM_R01.png,C:\Users\kreml\AI-Enabled-PKU\lab3\4.TD3\train\best_run\run\best_model\best_model.zip
TD3_SIM_R02,1,10.0,0.0,150.0,2000,1.314403208263867,1,3,nan,0.0,nan,nan,14.592733780484,TD3_SIM_R02.csv,TD3_SIM_R02.png,C:\Users\kreml\AI-Enabled-PKU\lab3\4.TD3\train\best_run\run\best_model\best_model.zip
TD3_SIM_R03,2,10.0,0.0,150.0,2000,1.468949068411252,1,3,nan,0.0,nan,nan,14.709264013118275,TD3_SIM_R03.csv,TD3_SIM_R03.png,C:\Users\kreml\AI-Enabled-PKU\lab3\4.TD3\train\best_run\run\best_model\best_model.zip
TD3_SIM_R04,3,10.0,0.0,150.0,2000,1.1770318265470205,1,3,nan,0.0,nan,nan,14.235578128291536,TD3_SIM_R04.csv,TD3_SIM_R04.png,C:\Users\kreml\AI-Enabled-PKU\lab3\4.TD3\train\best_run\run\best_model\best_model.zip
TD3_SIM_R05,4,10.0,0.0,150.0,2000,1.325926173345028,0,0,nan,0.0,nan,nan,27.242265543078787,TD3_SIM_R05.csv,TD3_SIM_R05.png,C:\Users\kreml\AI-Enabled-PKU\lab3\4.TD3\train\best_run\run\best_model\best_model.zip
TD3_SIM_R06,5,10.0,0.0,150.0,2000,2.72177759999267,1,3,nan,0.0,nan,nan,14.775528668288574,TD3_SIM_R06.csv,TD3_SIM_R06.png,C:\Users\kreml\AI-Enabled-PKU\lab3\4.TD3\train\best_run\run\best_model\best_model.zip
TD3_SIM_R07,6,10.0,0.0,150.0,2000,1.1585171380876371,0,0,nan,0.0,nan,nan,27.06814271971049,TD3_SIM_R07.csv,TD3_SIM_R07.png,C:\Users\kreml\AI-Enabled-PKU\lab3\4.TD3\train\best_run\run\best_model\best_model.zip
TD3_SIM_R08,7,10.0,0.0,150.0,2000,-1.920122212387527,1,3,nan,0.0,nan,nan,14.17545893178461,TD3_SIM_R08.csv,TD3_SIM_R08.png,C:\Users\kreml\AI-Enabled-PKU\lab3\4.TD3\train\best_run\run\best_model\best_model.zip
TD3_SIM_R09,8,10.0,0.0,150.0,2000,1.1528146923719795,0,0,nan,0.0,nan,nan,27.008144764332695,TD3_SIM_R09.csv,TD3_SIM_R09.png,C:\Users\kreml\AI-Enabled-PKU\lab3\4.TD3\train\best_run\run\best_model\best_model.zip
TD3_SIM_R10,9,10.0,0.0,150.0,2000,1.152237349272573,0,0,nan,0.0,nan,nan,27.034483750348297,TD3_SIM_R10.csv,TD3_SIM_R10.png,C:\Users\kreml\AI-Enabled-PKU\lab3\4.TD3\train\best_run\run\best_model\best_model.zip
